G = undirected Epinions,H = Partially observed undirected Epinions,,,,,,,,,,
Cut percent,nx.average_clustering(G),avg_clustering(G),"avg_clustering(G,undefined=None)",iteration,Nodes,Edges,nx.average_clustering(H),avg_clustering(H),"avg_clustering(H,undefined=None)","avg_clustering(H,observed=observed)","avg_clustering(H,observed=observed,undefined=None)"
0,0.137756373,0.137756373,0.260512807,avg,75879,405740,0.137756373,0.137756373,0.260512807,0.137756373,0.260512807
0.1,0.137756373,0.137756373,0.260512807,0,75450,401502,0.13613503,0.13613503,0.257828907,0.136967642,0.260281296
0.1,0.137756373,0.137756373,0.260512807,1,75536,401891,0.136426052,0.136426052,0.258279111,0.137077393,0.260301622
0.1,0.137756373,0.137756373,0.260512807,2,75486,400721,0.136011274,0.136011274,0.257594577,0.136878079,0.260012549
0.1,0.137756373,0.137756373,0.260512807,3,75468,401125,0.135884866,0.135884866,0.257145413,0.13664973,0.259471175
0.1,0.137756373,0.137756373,0.260512807,4,75479,401467,0.135650917,0.135650917,0.25686893,0.136438248,0.259159537
0.1,0.137756373,0.137756373,0.260512807,5,75481,401831,0.136041307,0.136041307,0.257505175,0.136685755,0.259486356
0.1,0.137756373,0.137756373,0.260512807,6,75514,401661,0.136084424,0.136084424,0.257628338,0.136841967,0.25962876
0.1,0.137756373,0.137756373,0.260512807,7,75540,402199,0.136052952,0.136052952,0.257515409,0.136821705,0.259692747
0.1,0.137756373,0.137756373,0.260512807,8,75495,401725,0.136259496,0.136259496,0.257836697,0.13698084,0.259846437
0.1,0.137756373,0.137756373,0.260512807,9,75468,401446,0.136000543,0.136000543,0.257312699,0.136803279,0.259677797
0.1,0.137756373,0.137756373,0.260512807,avg,75491.7,401556.8,0.136054686,0.136054686,0.257551526,0.136814464,0.259755828
0.2,0.137756373,0.137756373,0.260512807,0,74306,389256,0.130109026,0.130109026,0.247171889,0.132836324,0.255270279
0.2,0.137756373,0.137756373,0.260512807,1,74298,389150,0.131512396,0.131512396,0.249977179,0.134060972,0.257682571
0.2,0.137756373,0.137756373,0.260512807,2,74337,388973,0.132261276,0.132261276,0.251031672,0.134661944,0.258292006
0.2,0.137756373,0.137756373,0.260512807,3,74533,390936,0.131682366,0.131682366,0.250036476,0.134116142,0.257458364
